drive,engine,exterior,fuel,interior,location,make,mileage,model,modification,mpg,name,price,transmission,url,vin,year
,,Nebula Gray Pearl,,Light Gray,"Schaumburg, IL",Lexus,"38,937",ES,Sedan,,2014 Lexus ES 350,"$24,795",,https://www.truecar.com/used-cars-for-sale/listing/JTHBK1GG1E2139480/2014-lexus-es-350/,JTHBK1GG1E2139480,2014
,,Silver,,,"Madison, WI",Lexus,"97,135",RX,AWD 4dr,,2009 Lexus RX 350,"$14,995",,https://www.truecar.com/used-cars-for-sale/listing/2T2HK31U09C116975/2009-lexus-rx-350/,2T2HK31U09C116975,2009
,,Starfire Pearl,,Parchment,"Madison, WI",Lexus,"92,666",RX,AWD 4dr,,2011 Lexus RX 350,"$17,735",,https://www.truecar.com/used-cars-for-sale/listing/2T2BK1BA9BC093412/2011-lexus-rx-350/,2T2BK1BA9BC093412,2011
,,Crystal White,,Ivory,"Madison, WI",Lexus,"149,872",RX,AWD 4dr Hybrid,,2007 Lexus RX 400h,"$9,990",,https://www.truecar.com/used-cars-for-sale/listing/JTJHW31U672026506/2007-lexus-rx-400h/,JTJHW31U672026506,2007
,,Ultra White,,,"Rockford, IL",Lexus,"27,991",IS,Sedan AWD,,2014 Lexus IS 250,"$27,750",,https://www.truecar.com/used-cars-for-sale/listing/JTHCF1D26E5014040/2014-lexus-is-250/,JTHCF1D26E5014040,2014
,,Soul Red Metallic,,Black,"Rockford, IL",Mazda,"34,290",CX-5,Grand Touring AWD Automatic,,2016 Mazda CX-5,"$24,750",,https://www.truecar.com/used-cars-for-sale/listing/JM3KE4DY3G0703157/2016-mazda-cx-5/,JM3KE4DY3G0703157,2016
,,Red,,,"Mount Horeb, WI",Mazda,"64,082",CX-5,Sport AWD Automatic,,2014 Mazda CX-5,"$14,512",,https://www.truecar.com/used-cars-for-sale/listing/JM3KE4BE9E0324136/2014-mazda-cx-5/,JM3KE4BE9E0324136,2014
,,Gray,,Black,"Rockford, IL",Mazda,"19,921",CX-9,Grand Touring AWD,,2015 Mazda CX-9,"$29,750",,https://www.truecar.com/used-cars-for-sale/listing/JM3TB3DA8F0466190/2015-mazda-cx-9/,JM3TB3DA8F0466190,2015
,,Crystal Black Pearl,,,"Waukesha, WI",Acura,"75,262",ILX,5-Speed Automatic with Premium Package,,2013 Acura ILX,"$14,786",,https://www.truecar.com/used-cars-for-sale/listing/19VDE1F57DE011644/2013-acura-ilx/,19VDE1F57DE011644,2013
,,Red,,Tan,"Waukegean, IL",Acura,"51,184",TSX,5-Speed Automatic with Technology Package,,2013 Acura TSX,"$14,910",,https://www.truecar.com/used-cars-for-sale/listing/JH4CU2F6XDC001460/2013-acura-tsx/,JH4CU2F6XDC001460,2013
,,Silver,,,"Arlington Heights, IL",Acura,"30,837",ILX,5-Speed Automatic,,2014 Acura ILX,"$14,913",,https://www.truecar.com/used-cars-for-sale/listing/19VDE1F35EE008497/2014-acura-ilx/,19VDE1F35EE008497,2014
,,Classic Silver Metallic,,Ash,"West Allis, WI",Toyota,"43,123",Corolla,LE,,2016 Toyota Corolla,"$11,988",,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHE2GC544193/2016-toyota-corolla/,2T1BURHE2GC544193,2016
,,Super White,,Almond,"Milwaukee, WI",Toyota,"6,484",Corolla,LE Automatic,,2017 Toyota Corolla,"$15,345",,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHE6HC911453/2017-toyota-corolla/,2T1BURHE6HC911453,2017
,,Slate Metallic,,Ash,"West Allis, WI",Toyota,"22,529",Corolla,LE,,2015 Toyota Corolla,"$12,995",,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHE2FC335468/2015-toyota-corolla/,2T1BURHE2FC335468,2015
,,Snowflake White Pearl Mica,,Black,"Milwaukee, WI",Mazda,"30,013",Mazda3,i Touring 4-Door automatic,,2014 Mazda Mazda3,"$11,998",,https://www.truecar.com/used-cars-for-sale/listing/JM1BM1V7XE1162020/2014-mazda-mazda3/,JM1BM1V7XE1162020,2014
,,Pearl White,,Charcoal,"Madison, WI",Nissan,"35,413",Altima,2.5,,2015 Nissan Altima,"$12,495",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP3FC220268/2015-nissan-altima/,1N4AL3AP3FC220268,2015
,,Cayenne Red,,Charcoal,"Madison, WI",Nissan,"35,972",Altima,2.5 S,,2015 Nissan Altima,"$12,495",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP4FN370717/2015-nissan-altima/,1N4AL3AP4FN370717,2015
,,Gun Metallic,,Charcoal,"Madison, WI",Nissan,"4,345",Sentra,S CVT,,2017 Nissan Sentra,"$13,695",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP9HY371469/2017-nissan-sentra/,3N1AB7AP9HY371469,2017
,,Gun Metallic,,Charcoal,"Stoughton, WI",Nissan,"46,441",Sentra,S Automatic,,2016 Nissan Sentra,"$10,798",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP6GY240613/2016-nissan-sentra/,3N1AB7AP6GY240613,2016
,,Fresh Powder,,Charcoal W/Cloth Seat Trim,"Crystal Lake, IL",Nissan,"7,474",Sentra,S CVT,,2017 Nissan Sentra,"$14,995",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP3HY207473/2017-nissan-sentra/,3N1AB7AP3HY207473,2017
,,White,,Light Tan,"Brookfield, WI",Nissan,"42,914",Sentra,SV Automatic,,2016 Nissan Sentra,"$10,900",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP9GY223451/2016-nissan-sentra/,3N1AB7AP9GY223451,2016
,,Gray,,Beige,"West Allis, WI",Honda,"44,782",Civic,LX Automatic,,2015 Honda Civic Sedan,"$12,927",,https://www.truecar.com/used-cars-for-sale/listing/19XFB2F58FE063074/2015-honda-civic-sedan/,19XFB2F58FE063074,2015
,,Grey,,,"Waukesha, WI",Honda,"156,245",Civic,4dr Sedan L4 CVT w/Navi,,2010 Honda Civic Hybrid,"$7,786",,https://www.truecar.com/used-cars-for-sale/listing/JHMFA3F24AS006096/2010-honda-civic-hybrid/,JHMFA3F24AS006096,2010
,,Gray,,Gray,"Madison, WI",Kia,"45,060",Optima,LX,,2015 Kia Optima,"$11,795",,https://www.truecar.com/used-cars-for-sale/listing/5XXGM4A70FG481526/2015-kia-optima/,5XXGM4A70FG481526,2015
,,Midnight Sapphire Pearl Metallic,,Black,"Stoughton, WI",Kia,"44,491",Rio,Sedan Automatic LX,,2016 Kia Rio,"$9,288",,https://www.truecar.com/used-cars-for-sale/listing/KNADM4A35G6604587/2016-kia-rio/,KNADM4A35G6604587,2016
,,Deep Sea Blue,,Black,"Madison, WI",Kia,"3,003",Forte,EX Automatic,,2017 Kia Forte,"$17,528",,https://www.truecar.com/used-cars-for-sale/listing/3KPFL4A81HE086838/2017-kia-forte/,3KPFL4A81HE086838,2017
,,Blue,,,"Mequon, WI",Kia,"15,137",Forte,Automatic LX,,2016 Kia Forte,"$12,770",,https://www.truecar.com/used-cars-for-sale/listing/KNAFX4A61G5562421/2016-kia-forte/,KNAFX4A61G5562421,2016
,,White,,,"Schaumburg, IL",Kia,"25,629",Forte,LX Automatic,,2015 Kia Forte,"$12,991",,https://www.truecar.com/used-cars-for-sale/listing/KNAFX4A68F5311023/2015-kia-forte/,KNAFX4A68F5311023,2015
,,White,,Black,"Rockford, IL",Lexus,"86,772",IS,IS 350 AWD,,2013 Lexus IS 350,"$18,495",,https://www.truecar.com/used-cars-for-sale/listing/JTHCE5C24D5003127/2013-lexus-is-350/,JTHCE5C24D5003127,2013
,,White,,Black,"MADISON, WI",Lexus,"46,389",IS,Sedan,,2014 Lexus IS 350,"$25,997",,https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D2XE5001984/2014-lexus-is-350/,JTHBE1D2XE5001984,2014
,,White,,Tan,"Madison, WI",Lexus,"153,245",ES,4dr Sedan,,1999 Lexus ES 300 Luxury Sport Sedan,"$4,500",,https://www.truecar.com/used-cars-for-sale/listing/JT8BF28G9X0210996/1999-lexus-es-300-luxury-sport-sedan/,JT8BF28G9X0210996,1999
,,Gray,,Black,"MADISON, WI",Mazda,"29,116",CX-9,Touring AWD,,2013 Mazda CX-9,"$21,577",,https://www.truecar.com/used-cars-for-sale/listing/JM3TB3CVXD0420796/2013-mazda-cx-9/,JM3TB3CVXD0420796,2013
,,Basque Red Pearl Ii,,,"Sheboygan, WI",Acura,"25,447",ILX,Automatic with Premium Package,,2016 Acura ILX,"$18,697",,https://www.truecar.com/used-cars-for-sale/listing/19UDE2F79GA020188/2016-acura-ilx/,19UDE2F79GA020188,2016
,,Crystal Black Pearl,,Ebony,"Hoffman Estates, IL",Acura,"25,037",ILX,5-Speed Automatic with Technology Package,,2015 Acura ILX,"$17,969",,https://www.truecar.com/used-cars-for-sale/listing/19VDE1F79FE004070/2015-acura-ilx/,19VDE1F79FE004070,2015
,,Black,,,"Elgin, IL",Acura,"42,811",ILX,5-Speed Automatic with Premium Package,,2014 Acura ILX,"$14,500",,https://www.truecar.com/used-cars-for-sale/listing/19VDE1F57EE008860/2014-acura-ilx/,19VDE1F57EE008860,2014
,,Blue,,Almond,"West Allis, WI",Toyota,"21,239",Corolla,LE Automatic,,2017 Toyota Corolla,"$14,695",,https://www.truecar.com/used-cars-for-sale/listing/5YFBURHE8HP654621/2017-toyota-corolla/,5YFBURHE8HP654621,2017
,,Super White - White,,Ash Cloth,"Milwaukee, WI",Toyota,"46,842",Corolla,LE,,2016 Toyota Corolla,"$11,227",,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHE7GC544674/2016-toyota-corolla/,2T1BURHE7GC544674,2016
,,Slate Metallic,,Ash,"West Allis, WI",Toyota,"18,218",Corolla,LE Automatic,,2017 Toyota Corolla,"$14,979",,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHEXHC888484/2017-toyota-corolla/,2T1BURHEXHC888484,2017
,,Liquid Silver Metallic - Gray,,Black Cloth,"Milwaukee, WI",Mazda,"46,758",Mazda3,i Sport 4-Door automatic,,2013 Mazda Mazda3,"$10,981",,https://www.truecar.com/used-cars-for-sale/listing/JM1BL1U71D1845467/2013-mazda-mazda3/,JM1BL1U71D1845467,2013
,,Soul Red Metallic,,Black,"Brookfield, WI",Mazda,"18,709",Mazda3,i Touring 5-Door manual,,2014 Mazda Mazda3,"$13,991",,https://www.truecar.com/used-cars-for-sale/listing/3MZBM1L79EM123695/2014-mazda-mazda3/,3MZBM1L79EM123695,2014
,,Jet Black,,Black,"Milwaukee, WI",Mazda,"12,236",Mazda6,Sport Automatic,,2016 Mazda Mazda6,"$15,989",,https://www.truecar.com/used-cars-for-sale/listing/JM1GJ1U51G1447660/2016-mazda-mazda6/,JM1GJ1U51G1447660,2016
,,Super Black,,Charcoal,"Madison, WI",Nissan,"14,254",Sentra,S CVT,,2017 Nissan Sentra,"$12,895",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP9HY264082/2017-nissan-sentra/,3N1AB7AP9HY264082,2017
,,Deep Blue Pearl,,Charcoal,"Madison, WI",Nissan,"2,805",Sentra,SV CVT,,2017 Nissan Sentra,"$13,995",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP8HY385766/2017-nissan-sentra/,3N1AB7AP8HY385766,2017
,,Brilliant Silver,,Charcoal,"Madison, WI",Nissan,"3,043",Sentra,S CVT,,2017 Nissan Sentra,"$13,995",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP5HY310409/2017-nissan-sentra/,3N1AB7AP5HY310409,2017
,,Predawn Gray Mica,,Ash,"West Allis, WI",Toyota,"12,538",Camry,LE,,2015 Toyota Camry Hybrid,"$16,999",,https://www.truecar.com/used-cars-for-sale/listing/4T1BD1FK8FU149345/2015-toyota-camry-hybrid/,4T1BD1FK8FU149345,2015
,,Brilliant Silver,,Charcoal,"Madison, WI",Nissan,352,Sentra,SV CVT,,2017 Nissan Sentra,"$14,895",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP5HL711701/2017-nissan-sentra/,3N1AB7AP5HL711701,2017
,,Gun Metallic,,,"Brookfield, WI",Nissan,"32,259",Sentra,SV CVT,,2017 Nissan Sentra,"$12,972",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP2HL643454/2017-nissan-sentra/?zipcode=53005,3N1AB7AP2HL643454,2017
,,Gun Metallic,,Charcoal,"Stoughton, WI",Nissan,"22,592",Altima,2.5,,2016 Nissan Altima,"$15,888",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3APXGC240390/2016-nissan-altima/,1N4AL3APXGC240390,2016
,,Modern Steel Metallic - Gray,,Beige Cloth,"Milwaukee, WI",Honda,"38,800",Civic,LX Automatic,,2015 Honda Civic Sedan,"$11,691",,https://www.truecar.com/used-cars-for-sale/listing/19XFB2F53FE085449/2015-honda-civic-sedan/,19XFB2F53FE085449,2015
,,Crimson Pearl,,Beige,"Waukesha, WI",Honda,"28,930",Civic,EX Automatic,,2015 Honda Civic Sedan,"$13,458",,https://www.truecar.com/used-cars-for-sale/listing/19XFB2F84FE017560/2015-honda-civic-sedan/,19XFB2F84FE017560,2015
,,Crimson Pearl Red,,Beige,"Milwaukee, WI",Honda,"37,999",Civic,LX Automatic,,2014 Honda Civic Sedan,"$12,000",,https://www.truecar.com/used-cars-for-sale/listing/2HGFB2F59EH546576/2014-honda-civic-sedan/,2HGFB2F59EH546576,2014
,,Signal Red,,Black,"Stoughton, WI",Kia,"24,125",Rio,LX Automatic,,2017 Kia Rio,"$11,896",,https://www.truecar.com/used-cars-for-sale/listing/KNADM4A36H6005764/2017-kia-rio/,KNADM4A36H6005764,2017
,,Blue,,Black,"Madison, WI",Kia,"44,326",Optima,LX,,2016 Kia Optima,"$13,599",,https://www.truecar.com/used-cars-for-sale/listing/5XXGT4L30GG025962/2016-kia-optima/,5XXGT4L30GG025962,2016
,,White Pearl,,Black,"Madison, WI",Kia,"9,324",Optima,LX,,2016 Kia Optima,"$15,673",,https://www.truecar.com/used-cars-for-sale/listing/KNAGT4L32G5088465/2016-kia-optima/,KNAGT4L32G5088465,2016
,,Black,,,"Mequon, WI",Kia,"31,637",Forte,EX automatic,,2013 Kia Forte,"$9,440",,https://www.truecar.com/used-cars-for-sale/listing/KNAFU4A29D5713250/2013-kia-forte/,KNAFU4A29D5713250,2013
,,Drk Blue,,,"West Allis, WI",Kia,"17,215",Forte,LX Automatic,,2015 Kia Forte,"$12,489",,https://www.truecar.com/used-cars-for-sale/listing/KNAFX4A63F5287732/2015-kia-forte/,KNAFX4A63F5287732,2015
,,Crimson Red Metallic,,Black,"Milwaukee, WI",Kia,"27,562",Forte,Automatic LX,,2016 Kia Forte,"$10,995",,https://www.truecar.com/used-cars-for-sale/listing/KNAFK4A60G5568032/2016-kia-forte/,KNAFK4A60G5568032,2016
,,Clear White,,Black,"Milwaukee, WI",Kia,"36,626",Rio,Sedan Automatic LX,,2016 Kia Rio,"$9,995",,https://www.truecar.com/used-cars-for-sale/listing/KNADM4A37G6541749/2016-kia-rio/,KNADM4A37G6541749,2016
,,Bright Silver,,Gray,"Algonquin, IL",Kia,"47,187",Optima,LX,,2015 Kia Optima,"$12,399",,https://www.truecar.com/used-cars-for-sale/listing/5XXGM4A74FG478094/2015-kia-optima/,5XXGM4A74FG478094,2015
,,Millennium Silver Metallic,,,"Rockford, IL",Lexus,"164,857",RX,AWD 4dr,,2008 Lexus RX 350,"$10,000",,https://www.truecar.com/used-cars-for-sale/listing/2T2HK31U28C088949/2008-lexus-rx-350/,2T2HK31U28C088949,2008
,,Milano Red,,Ebony,"Northfield, IL",Acura,"69,000",TSX,Automatic with Special Edition,,2012 Acura TSX,"$12,490",,https://www.truecar.com/used-cars-for-sale/listing/JH4CU2F8XCC015732/2012-acura-tsx/,JH4CU2F8XCC015732,2012
,,Basque Red Pearl,,Taupe,"Milwaukee, WI",Acura,"70,223",TSX,Automatic,,2012 Acura TSX Sport Wagon,"$13,599",,https://www.truecar.com/used-cars-for-sale/listing/JH4CW2H5XCC003447/2012-acura-tsx-sport-wagon/,JH4CW2H5XCC003447,2012
,,Crystal Black Pearl,,Ebony,"Hoffman Estates, IL",Acura,"97,877",TSX,4dr Sedan I4 Auto,,2011 Acura TSX,"$10,939",,https://www.truecar.com/used-cars-for-sale/listing/JH4CU2F64BC001063/2011-acura-tsx/,JH4CU2F64BC001063,2011
,,Classic Silver Metallic,,Ash,"West Allis, WI",Toyota,"24,917",Corolla,LE,,2015 Toyota Corolla,"$12,995",,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHE7FC466332/2015-toyota-corolla/,2T1BURHE7FC466332,2015
,,Barcelona Red Metallic,,Ash,"West Allis, WI",Toyota,"32,014",Corolla,LE,,2015 Toyota Corolla,"$12,500",,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHE2FC296056/2015-toyota-corolla/,2T1BURHE2FC296056,2015
,,Slate Metallic,,Ash,"West Allis, WI",Toyota,"15,016",Corolla,LE,,2016 Toyota Corolla,"$14,675",,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHE3GC591829/2016-toyota-corolla/,2T1BURHE3GC591829,2016
,,Slate Metallic,,Ash,"West Allis, WI",Toyota,"24,104",Corolla,LE,,2016 Toyota Corolla,"$13,995",,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHE5GC590584/2016-toyota-corolla/,2T1BURHE5GC590584,2016
,,Gray,,Black,"Fox Lake, IL",Mazda,"31,455",Mazda3,i Sport 4-Door manual,,2014 Mazda Mazda3,"$10,990",,https://www.truecar.com/used-cars-for-sale/listing/JM1BM1U74E1124297/2014-mazda-mazda3/,JM1BM1U74E1124297,2014
,,Black Cherry Mica,,Sand,"Kenosha, WI",Mazda,"138,835",CX-7,FWD 4dr Touring,,2007 Mazda CX-7,"$5,343",,https://www.truecar.com/used-cars-for-sale/listing/JM3ER293X70130700/2007-mazda-cx-7/,JM3ER293X70130700,2007
,,Metallic Blue,,Charcoal,"Madison, WI",Nissan,"12,617",Versa,S Plus Automatic,,2017 Nissan Versa Sedan,"$10,395",,https://www.truecar.com/used-cars-for-sale/listing/3N1CN7AP4HL819663/2017-nissan-versa-sedan/,3N1CN7AP4HL819663,2017
,,White,,Charcoal,"Madison, WI",Nissan,"6,682",Versa,S Automatic,,2017 Nissan Versa Sedan,"$10,895",,https://www.truecar.com/used-cars-for-sale/listing/3N1CN7AP7HL818829/2017-nissan-versa-sedan/,3N1CN7AP7HL818829,2017
,,Gun Metallic,,Charcoal,"Madison, WI",Nissan,"1,314",Sentra,S CVT,,2017 Nissan Sentra,"$14,195",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP8HY370460/2017-nissan-sentra/,3N1AB7AP8HY370460,2017
,,Abyss,,Mid Blue Black,"West Allis, WI",Toyota,6,Yaris,Manual,,2017 Toyota Yaris iA,"$12,925",,https://www.truecar.com/used-cars-for-sale/listing/3MYDLBYV8HY190122/2017-toyota-yaris-ia/,3MYDLBYV8HY190122,2017
,,Barcelona Red Metallic,,,"Rockford, IL",Toyota,"20,315",Corolla,LE Automatic,,2017 Toyota Corolla,"$14,472",,https://www.truecar.com/used-cars-for-sale/listing/5YFBURHE6HP638062/2017-toyota-corolla/?zipcode=61109,5YFBURHE6HP638062,2017
,,Barcelona Red Metallic,,,"Rockford, IL",Toyota,"25,065",Corolla,LE Automatic,,2017 Toyota Corolla,"$14,172",,https://www.truecar.com/used-cars-for-sale/listing/5YFBURHE0HP635898/2017-toyota-corolla/?zipcode=61109,5YFBURHE0HP635898,2017
,,Super Black,,Charcoal,"Waukesha, WI",Nissan,"5,683",Sentra,S Automatic,,2016 Nissan Sentra,"$13,777",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP3GL680611/2016-nissan-sentra/,3N1AB7AP3GL680611,2016
,,Gray,,Beige,"West Allis, WI",Honda,"44,782",Civic,LX Automatic,,2015 Honda Civic Sedan,"$12,927",,https://www.truecar.com/used-cars-for-sale/listing/19XFB2F58FE063074/2015-honda-civic-sedan/,19XFB2F58FE063074,2015
,,Red,,Beige,"West Allis, WI",Honda,"51,351",Civic,LX Automatic,,2015 Honda Civic Sedan,"$12,500",,https://www.truecar.com/used-cars-for-sale/listing/19XFB2F58FE013212/2015-honda-civic-sedan/,19XFB2F58FE013212,2015
,,Gray,,,"McHenry, IL",Honda,"129,979",Civic,4dr Sedan,,2007 Honda Civic Hybrid,"$6,790",,https://www.truecar.com/used-cars-for-sale/listing/JHMFA362X7S028600/2007-honda-civic-hybrid/,JHMFA362X7S028600,2007
,,Black,,Beige,"Oconomowoc, WI",Kia,"9,424",Optima,LX,,2016 Kia Optima,"$13,300",,https://www.truecar.com/used-cars-for-sale/listing/5XXGT4L3XGG077177/2016-kia-optima/,5XXGT4L3XGG077177,2016
,,Racing Red,,Black,"Belleville, WI",Kia,"84,000",Forte,EX automatic,,2014 Kia Forte,"$8,995",,https://www.truecar.com/used-cars-for-sale/listing/KNAFZ4A84E5064299/2014-kia-forte/,KNAFZ4A84E5064299,2014
,,Red,,Beige,"Madison, WI",Kia,"23,803",Optima,EX,,2013 Kia Optima,"$14,547",,https://www.truecar.com/used-cars-for-sale/listing/5XXGN4A78DG245149/2013-kia-optima/,5XXGN4A78DG245149,2013
,,Blue,,,"West Allis, WI",Kia,"21,041",Forte,LX Automatic,,2015 Kia Forte,"$12,495",,https://www.truecar.com/used-cars-for-sale/listing/KNAFX4A62F5275068/2015-kia-forte/,KNAFX4A62F5275068,2015
,,Black,,Black,"Waukesha, WI",Kia,"25,745",Forte,Automatic LX,,2016 Kia Forte,"$11,496",,https://www.truecar.com/used-cars-for-sale/listing/KNAFK4A65G5559875/2016-kia-forte/,KNAFK4A65G5559875,2016
,,White Pearl,,Black,"Madison, WI",Kia,"9,324",Optima,LX,,2016 Kia Optima,"$15,673",,https://www.truecar.com/used-cars-for-sale/listing/KNAGT4L32G5088465/2016-kia-optima/,KNAGT4L32G5088465,2016
,,Sparkling Silver,,Black,"Rockford, IL",Kia,"34,039",Optima,LX,,2017 Kia Optima,"$15,772",,https://www.truecar.com/used-cars-for-sale/listing/5XXGT4L36HG141720/2017-kia-optima/?zipcode=61109,5XXGT4L36HG141720,2017
,,Graphite Steel Metallic,,,"Crystal Lake, IL",Kia,"20,538",Forte,Automatic LX,,2016 Kia Forte 5-Door,"$12,750",,https://www.truecar.com/used-cars-for-sale/listing/KNAFK5A8XG5620838/2016-kia-forte-5-door/,KNAFK5A8XG5620838,2016
,,Crystal Black Pearl,,,"Waukesha, WI",Acura,"121,365",TSX,Automatic with Technology Package,,2012 Acura TSX,"$12,786",,https://www.truecar.com/used-cars-for-sale/listing/JH4CU2F64CC005065/2012-acura-tsx/,JH4CU2F64CC005065,2012
,,Silver,,Ebony,"Schaumburg, IL",Acura,"69,657",TSX,Automatic with Navigation,,2006 Acura TSX,"$8,195",,https://www.truecar.com/used-cars-for-sale/listing/JH4CL96986C035549/2006-acura-tsx/,JH4CL96986C035549,2006
,,Silver Moon Metallic,,Ebony,"Hoffman Estates, IL",Acura,"24,460",ILX,5-Speed Automatic with Technology Package,,2014 Acura ILX,"$17,929",,https://www.truecar.com/used-cars-for-sale/listing/19VDE1F72EE012199/2014-acura-ilx/,19VDE1F72EE012199,2014
,,Dark Blue,,Black,"Palatine, IL",Mazda,"106,499",CX-7,FWD 4dr i Touring,,2011 Mazda CX-7,"$8,500",,https://www.truecar.com/used-cars-for-sale/listing/JM3ER2CM2B0403705/2011-mazda-cx-7/,JM3ER2CM2B0403705,2011
,,Black,,Black,"Arlington Heights, IL",Mazda,"85,997",CX-7,FWD 4dr i Touring,,2012 Mazda CX-7,"$10,895",,https://www.truecar.com/used-cars-for-sale/listing/JM3ER2C55C0416278/2012-mazda-cx-7/,JM3ER2C55C0416278,2012
,,Crystal White Pearl Mica,,,"Waukesha, WI",Mazda,"17,502",Mazda3,i SV 4-Door automatic,,2013 Mazda Mazda3,"$14,786",,https://www.truecar.com/used-cars-for-sale/listing/JM1BL1TG1D1834504/2013-mazda-mazda3/,JM1BL1TG1D1834504,2013
,,Gun Metallic,,Charcoal,"Madison, WI",Nissan,"4,105",Sentra,S CVT,,2017 Nissan Sentra,"$13,995",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP4HY378748/2017-nissan-sentra/,3N1AB7AP4HY378748,2017
,,Brilliant Silver,,Charcoal,"Madison, WI",Nissan,"4,261",Sentra,S CVT,,2017 Nissan Sentra,"$13,995",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP3HY388011/2017-nissan-sentra/,3N1AB7AP3HY388011,2017
,,Brilliant Silver,,Charcoal,"Madison, WI",Nissan,"3,207",Sentra,S CVT,,2017 Nissan Sentra,"$14,095",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP1HY370672/2017-nissan-sentra/,3N1AB7AP1HY370672,2017
,,Carbon Gray Pearl,,Ebony,"Palatine, IL",Acura,"85,983",TSX,Automatic,,2005 Acura TSX,"$7,998",,https://www.truecar.com/used-cars-for-sale/listing/JH4CL968X5C034487/2005-acura-tsx/,JH4CL968X5C034487,2005
,,Grey,,Steel Gray,"Madison, WI",Toyota,"44,006",Corolla,LE,,2016 Toyota Corolla,"$12,699",,https://www.truecar.com/used-cars-for-sale/listing/5YFBURHE9GP493310/2016-toyota-corolla/,5YFBURHE9GP493310,2016
,,Gray,,Charcoal,"West Allis, WI",Nissan,"41,854",Altima,2.5 S,,2015 Nissan Altima,"$11,500",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP7FN361641/2015-nissan-altima/,1N4AL3AP7FN361641,2015
,,Harbor Gray Metallic,,Gray,"Watertown, WI",Hyundai,"66,442",Sonata,GLS,,2014 Hyundai Sonata,"$10,108",,https://www.truecar.com/used-cars-for-sale/listing/5NPEB4AC9EH847819/2014-hyundai-sonata/,5NPEB4AC9EH847819,2014
,,Blue,,Light Gray,"West Allis, WI",Lexus,"53,184",ES,4dr Sedan,,2007 Lexus ES 350,"$12,475",,https://www.truecar.com/used-cars-for-sale/listing/JTHBJ46G772146541/2007-lexus-es-350/,JTHBJ46G772146541,2007
,,Classic Silver Metallic,,,"Brookfield, WI",Toyota,"26,020",Corolla,LE Automatic,,2017 Toyota Corolla,"$14,172",,https://www.truecar.com/used-cars-for-sale/listing/5YFBURHE5HP641230/2017-toyota-corolla/?zipcode=53005,5YFBURHE5HP641230,2017
,,Gray,,Ash,"Janesville, WI",Toyota,"15,787",Corolla,LE,,2015 Toyota Corolla,"$14,499",,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHE4FC388737/2015-toyota-corolla/,2T1BURHE4FC388737,2015
,,Black Sand Pearl,,Black,"Milwaukee, WI",Toyota,"9,531",Corolla,L Automatic,,2016 Toyota Corolla,"$13,900",,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHE1GC562121/2016-toyota-corolla/,2T1BURHE1GC562121,2016
,,Red Brick,,,"Janesville, WI",Nissan,"42,013",Sentra,S Automatic,,2014 Nissan Sentra,"$10,999",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7APXEL680652/2014-nissan-sentra/,3N1AB7APXEL680652,2014
,,Black,,Charcoal,"Libertyville, IL",Nissan,"11,024",Altima,2.5 S,,2015 Nissan Altima,"$14,243",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP1FC479874/2015-nissan-altima/,1N4AL3AP1FC479874,2015
,,Silver,,Charcoal,"Elgin, IL",Nissan,"52,296",Altima,2.5 S,,2015 Nissan Altima,"$11,199",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP8FC196209/2015-nissan-altima/,1N4AL3AP8FC196209,2015
